Player,Pos,Tm,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Kevin Huerter,SG,ATL,6.4,15.4,3.2,7.1,3.2,8.4,1.1,1.5,1.2,4.6,5.8,5.2,1.4,0.6,2.4,3.6,17.2,0.416,0.455,0.383,0.52,0.783,0.535
De'Andre Hunter,SF,ATL,6.5,15.8,4,8.8,2.5,7,2.5,3.3,1,5.6,6.6,2.6,1,0.4,2.4,4.2,18,0.41,0.454,0.355,0.489,0.764,0.521
Serge Ibaka,C,TOR,9.5,19.3,7.6,14.1,1.9,5.3,2.4,3,2.9,9.1,12,1.7,0.8,2.6,2.4,4.6,23.4,0.493,0.543,0.361,0.542,0.79,0.565
Joe Ingles,SF,UTA,5.9,13.1,2.5,4.9,3.3,8.2,1.3,1.8,0.6,5.8,6.4,7.2,2,0.3,3.1,3.7,16.4,0.446,0.512,0.407,0.573,0.748,0.589
Brandon Ingram,PF,NOP,8.8,19,7.2,14.6,1.6,4.4,4.8,6.7,1.2,6.2,7.4,4.7,1.1,0.9,3.4,3.8,23.9,0.46,0.492,0.357,0.502,0.72,0.544
Kyrie Irving,PG,BRK,12.7,26.8,9.3,18,3.5,8.8,5.6,6.4,1.2,4.3,5.5,8.4,1.9,0.5,3.7,3.2,34.6,0.475,0.514,0.394,0.54,0.885,0.584
Jonathan Isaac,SF,ORL,6.5,15.1,4.7,9.5,1.9,5.7,2.6,3.3,2.4,7.9,10.3,2,2,2.9,2.1,3.8,17.5,0.432,0.495,0.328,0.494,0.794,0.529
Jaren Jackson Jr.,C,MEM,10,20.5,7,12.9,3,7.7,4.4,5.8,2,6.4,8.4,2.2,1.4,2.7,3.1,7,27.2,0.485,0.545,0.386,0.557,0.755,0.59
Reggie Jackson,PG,TOT,10.1,23.6,7.5,16.2,2.6,7.5,4.6,5.4,1.1,4.3,5.4,9.4,1.2,0.2,4,4,27.4,0.427,0.463,0.349,0.482,0.852,0.527
LeBron James,PG,LAL,13.5,26,11.1,19.1,2.4,6.8,6.6,9.3,1.6,9.2,10.7,11.5,1.9,0.9,5.3,2.5,35.9,0.519,0.58,0.349,0.565,0.703,0.597
Nikola Jokić,C,DEN,11.1,21.2,9.6,16.6,1.5,4.6,5.1,6.2,4.4,12,16.5,9.3,1.9,1.2,4.3,4.8,28.8,0.524,0.576,0.338,0.561,0.825,0.604
